Wavelength [nm],Transmittance %
300,52.803
310,52.803
320,52.803
330,52.803
340,56.075
350,57.821
360,59.172
370,58.822
380,58.759
390,59.201
400,59.71
410,60.183
420,60.501
430,60.387
440,60.343
450,60.599
460,61.339
470,62.257
480,63.257
490,64.542
500,66.366
510,69.046
520,72.086
530,74.861
540,76.954
550,78.256
560,79.001
570,79.361
580,79.627
590,79.881
600,80.066
610,80.257
620,80.386
630,80.528
640,80.653
650,80.802
660,80.852
670,80.873
680,81.024
690,81.085
700,81.147
710,81.313
720,81.254
730,81.405
740,81.535
750,81.502
760,81.688
770,81.691
780,81.582
790,81.612
800,81.835
810,81.693
820,81.666
830,81.518
840,81.46
850,81.901
860,82.014
870,82.122
880,82.25
890,82.344
900,82.418
910,82.499
920,82.575
930,82.67
940,82.727
950,82.755
960,82.809
970,82.844
980,82.923
990,82.951
1000,83.003
1010,83.068
1020,83.088
1030,83.163
1040,83.237
1050,83.259
1060,83.316
1070,83.33
1080,83.407
1090,83.458
